File Path	chrom://pc-99hx762/ChromeleonLocal/Instrument Data/PC-99HX762_1/Sequenzen/CarboPac-PA1/20170526_MME_Angel.seq/850.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	20170526_MME_AA_STD-Mix2
Injection Number	5
Position	5
Comment	
Processing Method	
Instrument Method	0-400 mM NaAc 40 min_OHNE_PORT_B 1HZ
Type	Unknown
Status	Finished
Injection Date	26.05.2017
Injection Time	16:52:02
Injection Volume (µl)	25,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000000
Time Max. (min)	54,000000
Data Points	3241
Detector	EDet1
Generating Data System	Chromeleon 7.2.3.7553
Exporting Data System	Chromeleon 7.2.3.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-0,774900
Signal Max.	210,061603
Channel	ED_1
Driver Name	DC-3000
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000000	n.a.	-0,089600
0,016667	1	-0,038750
0,033333	1	-0,019900
0,050000	1	-0,010700
0,066667	1	-0,004400
0,083333	1	-0,013550
0,100000	1	-0,007050
0,116667	1	-0,011600
0,133333	1	-0,014200
0,150000	1	-0,025100
0,166667	1	-0,017800
0,183333	1	-0,024850
0,200000	1	-0,026850
0,216667	1	-0,030500
0,233333	1	-0,030050
0,250000	1	-0,040250
0,266667	1	-0,029200
0,283333	1	-0,033000
0,300000	1	-0,035300
0,316667	1	-0,049800
0,333333	1	-0,049900
0,350000	1	-0,036000
0,366667	1	-0,054600
0,383333	1	-0,060800
0,400000	1	-0,060200
0,416667	1	-0,056650
0,433333	1	-0,052350
0,450000	1	-0,056150
0,466667	1	-0,068200
0,483333	1	-0,066550
0,500000	1	-0,072650
0,516667	1	-0,061500
0,533333	1	-0,064000
0,550000	1	-0,079900
0,566667	1	-0,085500
0,583333	1	-0,083400
0,600000	1	-0,088300
0,616667	1	-0,094200
0,633333	1	-0,101750
0,650000	1	-0,087500
0,666667	1	-0,091750
0,683333	1	-0,093000
0,700000	1	-0,091700
0,716667	1	-0,096600
0,733333	1	-0,088050
0,750000	1	-0,091000
0,766667	1	-0,096100
0,783333	1	-0,101700
0,800000	1	-0,099050
0,816667	1	-0,100600
0,833333	1	-0,109550
0,850000	1	-0,110350
0,866667	1	-0,114750
0,883333	1	-0,110850
0,900000	1	-0,108900
0,916667	1	-0,111650
0,933333	1	-0,128550
0,950000	1	-0,127900
0,966667	1	-0,112000
0,983333	1	-0,121550
1,000000	1	-0,117550
1,016667	1	-0,124250
1,033333	1	-0,108250
1,050000	1	-0,109500
1,066667	1	-0,119600
1,083333	1	-0,139650
1,100000	1	-0,133850
1,116667	1	-0,129550
1,133333	1	-0,128350
1,150000	1	-0,126200
1,166667	1	-0,124100
1,183333	1	-0,121400
1,200000	1	-0,131050
1,216667	1	-0,123000
1,233333	1	-0,121950
1,250000	1	-0,138150
1,266667	1	-0,127150
1,283333	1	-0,124650
1,300000	1	-0,139200
1,316667	1	-0,138150
1,333333	1	-0,137450
1,350000	1	-0,127100
1,366667	1	-0,140750
1,383333	1	-0,181300
1,400000	1	-0,648700
1,416667	1	-0,774900
1,433333	1	0,100800
1,450000	1	0,385400
1,466667	1	0,198200
1,483333	1	0,025350
1,500000	1	-0,093350
1,516667	1	-0,143400
1,533333	1	-0,142100
1,550000	1	-0,130100
1,566667	1	-0,082900
1,583333	1	-0,022650
1,600000	1	0,018900
1,616667	1	0,032500
1,633333	1	0,058700
1,650000	1	0,133300
1,666667	1	0,233100
1,683333	1	0,379700
1,700000	1	0,707200
1,716667	1	1,417000
1,733333	1	2,042650
1,750000	1	2,096900
1,766667	1	1,712000
1,783333	1	1,193000
1,800000	1	0,768200
1,816667	1	0,463450
1,833333	1	0,262150
1,850000	1	0,154850
1,866667	1	0,084000
1,883333	1	0,048000
1,900000	1	0,022850
1,916667	1	-0,006100
1,933333	1	-0,008400
1,950000	1	-0,032100
1,966667	1	-0,040750
1,983333	1	-0,063150
2,000000	1	-0,065950
2,016667	1	-0,072150
2,033333	1	-0,078200
2,050000	1	-0,079500
2,066667	1	-0,086550
2,083333	1	-0,088600
2,100000	1	-0,090800
2,116667	1	-0,086800
2,133333	1	-0,087750
2,150000	1	-0,098050
2,166667	1	-0,098250
2,183333	1	-0,092650
2,200000	1	-0,101150
2,216667	1	-0,109350
2,233333	1	-0,111600
2,250000	1	-0,112050
2,266667	1	-0,109150
2,283333	1	-0,116950
2,300000	1	-0,121300
2,316667	1	-0,126650
2,333333	1	-0,121700
2,350000	1	-0,119600
2,366667	1	-0,121950
2,383333	1	-0,128650
2,400000	1	-0,133900
2,416667	1	-0,118500
2,433333	1	-0,126800
2,450000	1	-0,142650
2,466667	1	-0,146400
2,483333	1	-0,146100
2,500000	1	-0,143950
2,516667	1	-0,139250
2,533333	1	-0,142900
2,550000	1	-0,158700
2,566667	1	-0,154600
2,583333	1	-0,162800
2,600000	1	-0,163100
2,616667	1	-0,144850
2,633333	1	-0,130100
2,650000	1	-0,102850
2,666667	1	-0,074850
2,683333	1	-0,057550
2,700000	1	-0,034750
2,716667	1	0,054250
2,733333	1	0,240800
2,750000	1	0,495000
2,766667	1	0,713850
2,783333	1	0,776950
2,800000	1	0,695500
2,816667	1	0,525550
2,833333	1	0,362600
2,850000	1	0,239700
2,866667	1	0,146750
2,883333	1	0,077950
2,900000	1	0,031550
2,916667	1	0,008850
2,933333	1	-0,028000
2,950000	1	-0,041800
2,966667	1	-0,059000
2,983333	1	-0,078800
3,000000	1	-0,087250
3,016667	1	-0,083650
3,033333	1	-0,086650
3,050000	1	-0,082900
3,066667	1	-0,091750
3,083333	1	-0,088600
3,100000	1	-0,100900
3,116667	1	-0,113500
